VHCL_CRASH_ID,VHCL_VHCL_ID,VHCL_VHCL_CODED_SEQ_NO,VHCL_OWNSHP_CD,VHCL_OWNSHP_SHORT_DESC,VHCL_USE_CD,VHCL_USE_SHORT_DESC,VHCL_TYP_CD,VHCL_TYP_SHORT_DESC,EMRGCY_VHCL_USE_FLG,TRLR_QTY,VHCL_MVMNT_CD,VHCL_MVMNT_SHORT_DESC,VHCL_CMPSS_DIR_FROM_CD,VHCL_CMPSS_DIR_FROM_SHORT_DESC,VHCL_CMPSS_DIR_TO_CD,VHCL_CMPSS_DIR_TO_SHORT_DESC,VHCL_ACTN_CD,VHCL_ACTN_SHORT_DESC,VHCL_CAUSE_1_CD,VHCL_CAUSE_1_SHORT_DESC,VHCL_CAUSE_2_CD,VHCL_CAUSE_2_SHORT_DESC,VHCL_CAUSE_3_CD,VHCL_CAUSE_3_SHORT_DESC,VHCL_EVNT_1_CD,VHCL_EVNT_1_SHORT_DESC,VHCL_EVNT_2_CD,VHCL_EVNT_2_SHORT_DESC,VHCL_EVNT_3_CD,VHCL_EVNT_3_SHORT_DESC,VHCL_SPEED_FLG,VHCL_HIT_RUN_FLG,VHCL_SFTY_EQUIP_USED_QTY,VHCL_SFTY_EQUIP_UNUSED_QTY,VHCL_SFTY_EQUIP_USE_UNKNWN_QTY,VHCL_OCCUP_CNT,STRIKG_VHCL_FLG,PARTIC_CRASH_ID,PARTIC_VHCL_ID,PARTIC_ID,PARTIC_DSPLY_SEQ_NO,PARTIC_VHCL_CODED_SEQ_NO,PARTIC_VHCL_SEQ_NO,PARTIC_TYP_CD,PARTIC_TYP_SHORT_DESC,PARTIC_HIT_RUN_FLG,PUB_EMPL_FLG,SEX_CD,AGE_VAL,DRVR_LIC_STAT_CD,DRVR_LIC_STAT_SHORT_DESC,DRVR_RES_STAT_CD,DRVR_RES_SHORT_DESC,INJ_SVRTY_CD,INJ_SVRTY_SHORT_DESC,SFTY_EQUIP_USE_CD,SFTY_EQUIP_USE_SHORT_DESC,AIRBAG_DEPLOY_IND,PARTIC_MVMNT_CD,PARTIC_MVMNT_SHORT_DESC,PARTIC_CMPSS_DIR_FROM_CD,PARTIC_CMPSS_DIR_FROM_SHORT_DESC,PARTIC_CMPSS_DIR_TO_CD,PARTIC_CMPSS_DIR_TO_SHORT_DESC,NON_MOTRST_LOC_CD,NON_MOTRST_LOC_SHORT_DESC,PARTIC_ACTN_CD,PARTIC_ACTN_SHORT_DESC,PARTIC_ERR_1_CD,PARTIC_ERR_1_SHORT_DESC,PARTIC_ERR_2_CD,PARTIC_ERR_2_SHORT_DESC,PARTIC_ERR_3_CD,PARTIC_ERR_3_SHORT_DESC,PARTIC_CAUSE_1_CD,PARTIC_CAUSE_1_SHORT_DESC,PARTIC_CAUSE_2_CD,PARTIC_CAUSE_2_SHORT_DESC,PARTIC_CAUSE_3_CD,PARTIC_CAUSE_3_SHORT_DESC,PARTIC_EVNT_1_CD,PARTIC_EVNT_1_SHORT_DESC,PARTIC_EVNT_2_CD,PARTIC_EVNT_2_SHORT_DESC,PARTIC_EVNT_3_CD,PARTIC_EVNT_3_SHORT_DESC,BAC_VAL,ALCHL_USE_RPT_IND,DRUG_USE_RPT_IND,MJ_USE_RPT_IND,STRIKG_PARTIC_FLG,CRASH_ERR_LONG_DESC,CAUSE_LONG_DESC,EVNT_LONG_DESC,MVMNT_LONG_DESC,ACTN_LONG_DESC
1315252,2491278,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,2,TURN-R,5,S,3,E,0,NONE,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1315252,2491278,2846790,1,1,1,1,DRVR,False,False,2,33,2,OTH-Y,4,N-RES,9,NONE,2,BELT,,,,,,,,,,0,NONE,97,UNA DIS TC,,,,,0,NO CODE,,,,,,,,,,,,,,,False,Unable to determine which driver disregarded traffic control device,No cause associated at this level,,Turning Right,No action or non-warranted
1316821,2494131,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,2,TURN-R,2,NE,8,NW,19,ENTR DWY,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1316821,2494131,2849981,1,1,1,1,DRVR,False,False,1,49,1,OR-Y,1,OR<25,9,NONE,2,BELT,0.0,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,,,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Turning Right,Entering alley or driveway from street or highway
1331885,2522355,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,2,TURN-R,7,W,5,S,0,NONE,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1331885,2522355,2882127,1,1,1,1,DRVR,False,False,2,41,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,0.0,NO CODE,,,,,,,,,,,,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Turning Right,No action or non-warranted
1342145,2541887,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,7,W,3,E,0,NONE,0,NO CODE,,,,,,,,,,,False,False,0,0,1,1,True,1342145,2541887,2904265,1,1,1,1,DRVR,False,False,1,38,1,OR-Y,1,OR<25,9,NONE,9,UNK,0.0,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,,,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Straight Ahead,No action or non-warranted
1346961,2550783,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,,3,TURN-L,8,NW,2,NE,0,NONE,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1346961,2550783,2914467,1,1,1,1,DRVR,False,False,1,29,1,OR-Y,1,OR<25,9,NONE,2,BELT,0.0,,,,,,,,,26,SUN,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,0.0,0.0,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Turning Left,No action or non-warranted
1315798,2492248,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,2,TURN-R,3,E,1,N,0,NONE,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,False,1315798,2492248,2847880,2,1,1,1,DRVR,False,False,2,61,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,,False,No error,No cause associated at this level,,Turning Right,No action or non-warranted
1344628,2546511,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,2,TURN-R,4,SE,2,NE,0,NONE,0,NO CODE,,,,,110.0,N-MTR,,,,,False,False,2,0,0,2,True,1344628,2546511,2909616,1,1,1,1,DRVR,False,False,1,56,1,OR-Y,1,OR<25,9,NONE,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,0.0,0.0,,False,No error,No cause associated at this level,,Turning Right,No action or non-warranted
1334625,2527601,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,6,SW,2,NE,0,NONE,0,NO CODE,,,,,,,,,,,False,False,0,0,1,1,True,1334625,2527601,2888118,1,1,1,1,DRVR,False,False,1,28,2,OTH-Y,4,N-RES,9,NONE,9,UNK,,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,0.0,0.0,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Straight Ahead,No action or non-warranted
1335159,2528604,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,2,TURN-R,3,E,1,N,0,NONE,0,NO CODE,,,,,,,,,,,False,False,0,1,0,1,True,1335159,2528604,2889260,1,1,1,1,DRVR,False,False,1,63,1,OR-Y,1,OR<25,9,NONE,0,NONE,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,0.0,0.0,,False,No error,No cause associated at this level,,Turning Right,No action or non-warranted
1340374,2538493,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,6,STOP,7,W,3,E,11,STOPPED,0,NO CODE,,,,,110.0,N-MTR,,,,,False,False,1,0,0,1,False,1340374,2538493,2900466,2,1,1,1,DRVR,False,False,2,48,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,,False,No error,No cause associated at this level,,Stopped in Traffic,Stopped in traffic not waiting to make a left turn
1337391,2532788,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,6,STOP,5,S,1,N,11,STOPPED,0,NO CODE,,,,,,,,,,,False,False,2,0,0,2,False,1337391,2532788,2894072,2,1,1,1,DRVR,False,False,2,19,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,36,N/PAS ZN,,,,,6,IMP-OVER,,,,,,,,,,,,0.0,0.0,,False,"Passing in ""No Passing"" zone",No cause associated at this level,,Stopped in Traffic,Stopped in traffic not waiting to make a left turn
1344947,2547077,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,2,TURN-R,7,W,5,S,0,NONE,0,NO CODE,,,,,,,,,,,False,False,0,0,1,1,True,1344947,2547077,2910276,1,1,1,1,DRVR,False,False,1,27,1,OR-Y,1,OR<25,9,NONE,9,UNK,,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,,,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Turning Right,No action or non-warranted
1355232,2565729,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,1,N,5,S,0,NONE,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,False,1355232,2565729,2931419,2,1,1,1,DRVR,False,False,2,72,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,83.0,VEG HID,,,,,,0.0,0.0,,False,No error,No cause associated at this level,Vegetation obscured view,Straight Ahead,No action or non-warranted
1345019,2547199,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,3,TURN-L,1,N,3,E,19,ENTR DWY,0,NO CODE,,,,,,,,,,,False,False,0,0,1,1,True,1345019,2547199,2910418,1,1,1,1,DRVR,False,False,1,30,1,OR-Y,1,OR<25,9,NONE,9,UNK,,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,,,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Turning Left,Entering alley or driveway from street or highway
1345136,2547410,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,5,BACK,4,SE,8,NW,9,ANG PARK,0,NO CODE,,,,,,,,,,,False,False,2,0,0,2,False,1345136,2547410,2910662,2,1,1,1,DRVR,False,False,2,17,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,82.0,VEH HID,,,,,,0.0,0.0,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,Vehicle obscured view,Backing,Angle parking
1337582,2533148,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,5,S,1,N,0,NONE,22,DEF BRKE,,,,,,,,,,,False,False,1,0,0,1,True,1337582,2533148,2894462,1,1,1,1,DRVR,False,False,1,26,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,17,UNSF VEH,21.0,RAN STOP,,,3,PAS-STOP,,,,,,,,,,,86.0,0.0,0.0,,False,Driving unsafe vehicle (no other error apparent),Inadequate or no brakes,,Straight Ahead,No action or non-warranted
1336395,2530897,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,2,TURN-R,5,S,3,E,0,NONE,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1336395,2530897,2891911,1,1,1,1,DRVR,False,False,1,65,2,OTH-Y,4,N-RES,9,NONE,2,BELT,0.0,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,,,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Turning Right,No action or non-warranted
1315869,2492368,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,3,TURN-L,7,W,1,N,0,NONE,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,False,1315869,2492368,2848010,2,1,1,1,DRVR,False,False,1,54,1,OR-Y,2,OR>25,9,NONE,2,BELT,,,,,,,,,,0,NONE,27,BIKE ROW,4.0,L IN TRF,,,2,NO-YIELD,,,,,,,,,,,,,,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Turning Left,No action or non-warranted
1337335,2532678,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,,1,STRGHT,1,N,5,S,0,NONE,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1337335,2532678,2893935,1,1,1,1,DRVR,False,False,2,52,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,86.0,0.0,0.0,,False,No error,No cause associated at this level,,Straight Ahead,No action or non-warranted
1316709,2493931,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,2,TURN-R,6,SW,5,S,15,GO A/STOP,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1316709,2493931,2849763,1,1,1,1,DRVR,False,False,2,53,1,OR-Y,1,OR<25,9,NONE,2,BELT,0.0,,,,,,,,,38,DISTRACT,16,INATTENT,27.0,BIKE ROW,,,27,INATTENT,2.0,NO-YIELD,,,,,,,,,,,,,False,Inattention (Failure to Dim Lights prior to 4/1/97),No cause associated at this level,,Turning Right,Proceed after stopping for a stop sign/flashing red.
1316645,2493816,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,7,W,3,E,0,NONE,0,NO CODE,,,,,,,,,,,False,False,0,0,1,1,True,1316645,2493816,2849630,1,1,1,1,DRVR,False,False,2,32,2,OTH-Y,1,OR<25,9,NONE,9,UNK,,,,,,,,,,0,NONE,51,RECKLESS,27.0,BIKE ROW,,,33,RECKLESS,2.0,NO-YIELD,,,,,,,,,21.0,1.0,,,False,Reckless driving (per PAR),No cause associated at this level,,Straight Ahead,No action or non-warranted
1331957,2522498,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,8,NW,4,SE,0,NONE,0,NO CODE,,,,,,,,,,,False,False,2,0,0,2,True,1331957,2522498,2882284,1,1,1,1,DRVR,False,False,1,32,1,OR-Y,1,OR<25,9,NONE,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,0.0,0.0,,False,No error,No cause associated at this level,,Straight Ahead,No action or non-warranted
1336563,2531217,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,7,W,3,E,15,GO A/STOP,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1336563,2531217,2892279,1,1,1,1,DRVR,False,False,1,45,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,0.0,0.0,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Straight Ahead,Proceed after stopping for a stop sign/flashing red.
1335672,2529584,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,3,TURN-L,6,SW,1,N,0,NONE,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,False,1335672,2529584,2890395,2,1,1,1,DRVR,False,False,2,45,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,0.0,0.0,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Turning Left,No action or non-warranted
1331859,2522305,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,3,E,7,W,0,NONE,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1331859,2522305,2882064,1,1,1,1,DRVR,False,False,1,22,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,0.0,0.0,,False,No error,No cause associated at this level,,Straight Ahead,No action or non-warranted
1343911,2545140,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,2,TURN-R,7,W,5,S,0,NONE,0,NO CODE,,,,,,,,,,,False,False,4,0,0,4,True,1343911,2545140,2908048,1,1,1,1,DRVR,False,False,1,33,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,,,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Turning Right,No action or non-warranted
1314849,2490543,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,1,N,5,S,15,GO A/STOP,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1314849,2490543,2845963,1,1,1,1,DRVR,False,False,1,51,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,0.0,0.0,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Straight Ahead,Proceed after stopping for a stop sign/flashing red.
1334309,2527002,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,3,E,7,W,0,NONE,0,NO CODE,,,,,,,,,,,False,False,0,0,1,1,True,1334309,2527002,2887428,1,1,1,1,DRVR,False,False,1,25,1,OR-Y,1,OR<25,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,,False,No error,No cause associated at this level,,Straight Ahead,No action or non-warranted
1318918,2497836,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,2,TURN-R,5,S,2,NE,0,NONE,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1318918,2497836,2854256,1,1,1,1,DRVR,False,False,1,60,1,OR-Y,1,OR<25,9,NONE,2,BELT,0.0,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,0.0,0.0,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Turning Right,No action or non-warranted
1317982,2496199,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,3,TURN-L,1,N,3,E,0,NONE,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1317982,2496199,2852341,1,1,1,1,DRVR,False,False,1,56,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,86.0,0.0,0.0,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Turning Left,No action or non-warranted
